column_name,classification,reason
middle_order_avg_exit_velo,SAFE_FEATURE,PIT-safe pregame
middle_order_xwoba_contact,SAFE_FEATURE,PIT-safe pregame
middle_order_coverage,FORBIDDEN_FEATURE,market/outcome derived
bottom_order_hard_hit_rate,SAFE_FEATURE,PIT-safe pregame
bottom_order_barrel_rate,SAFE_FEATURE,PIT-safe pregame
bottom_order_avg_exit_velo,SAFE_FEATURE,PIT-safe pregame
bottom_order_xwoba_contact,SAFE_FEATURE,PIT-safe pregame
bottom_order_coverage,FORBIDDEN_FEATURE,market/outcome derived
lineup_depth_dropoff_hh,SAFE_FEATURE,PIT-safe pregame
lineup_depth_dropoff_ev,SAFE_FEATURE,PIT-safe pregame
lineup_quality_hh,SAFE_FEATURE,PIT-safe pregame
lineup_quality_ev,SAFE_FEATURE,PIT-safe pregame
lineup_quality_xwoba,SAFE_FEATURE,PIT-safe pregame
lineup_coverage_overall,FORBIDDEN_FEATURE,market/outcome derived
high_lev_k_rate_last_5,SAFE_FEATURE,PIT-safe pregame
high_lev_k_rate_last_10,SAFE_FEATURE,PIT-safe pregame
high_lev_bb_rate_last_5,SAFE_FEATURE,PIT-safe pregame
high_lev_bb_rate_last_10,SAFE_FEATURE,PIT-safe pregame
high_lev_hr_rate_last_5,SAFE_FEATURE,PIT-safe pregame
high_lev_hr_rate_last_10,SAFE_FEATURE,PIT-safe pregame
med_lev_k_rate_last_5,SAFE_FEATURE,PIT-safe pregame
med_lev_k_rate_last_10,SAFE_FEATURE,PIT-safe pregame
med_lev_bb_rate_last_5,SAFE_FEATURE,PIT-safe pregame
med_lev_bb_rate_last_10,SAFE_FEATURE,PIT-safe pregame
low_lev_k_rate_last_5,SAFE_FEATURE,PIT-safe pregame
low_lev_k_rate_last_10,SAFE_FEATURE,PIT-safe pregame
low_lev_bb_rate_last_5,SAFE_FEATURE,PIT-safe pregame
low_lev_bb_rate_last_10,SAFE_FEATURE,PIT-safe pregame
leverage_gap_k_last_5,HIGH_NULL,null>75%
leverage_gap_k_last_10,HIGH_NULL,null>69%
leverage_gap_bb_last_5,HIGH_NULL,null>75%
leverage_gap_bb_last_10,HIGH_NULL,null>69%
high_lev_k_rate_baseline,SAFE_FEATURE,PIT-safe pregame
high_lev_k_rate_drift_last_5,SAFE_FEATURE,PIT-safe pregame
high_lev_bb_rate_baseline,SAFE_FEATURE,PIT-safe pregame
high_lev_bb_rate_drift_last_5,SAFE_FEATURE,PIT-safe pregame
exit_prob_by_4_last_5,SAFE_FEATURE,PIT-safe pregame
exit_prob_by_4_last_10,HIGH_NULL,null>55%
exit_prob_by_5_last_5,SAFE_FEATURE,PIT-safe pregame
exit_prob_by_5_last_10,HIGH_NULL,null>55%
exit_prob_by_6_last_5,SAFE_FEATURE,PIT-safe pregame
exit_prob_by_6_last_10,HIGH_NULL,null>55%
exit_prob_by_7_last_5,SAFE_FEATURE,PIT-safe pregame
exit_prob_by_7_last_10,HIGH_NULL,null>55%
exit_prob_by_5_baseline,SAFE_FEATURE,PIT-safe pregame
exit_prob_by_5_drift_last_5,SAFE_FEATURE,PIT-safe pregame
deterioration_score_norm,FORBIDDEN_FEATURE,market/outcome derived
