engine,player_name,player_id,game_date,season,dataset_split,team,opponent,p_k,bf_mean,bf_std,beta_concentration,proj_k,actual_bf,actual_k,line,lean,edge,edge_bucket,model_prob_over,model_prob_under,implied_prob_over,implied_prob_under,actual_odds,bet_win,odds_flag,statcast_available,seg_A,seg_D,seg_E,n_books
BetaBinomial,Mitch Spence,687765.0,2024-09-06,2024,VALIDATION,OAK,DET,0.2132,25.6,6.72,23.2,5.46,21,6.0,4.5,UNDER,0.029,2-5%,0.5528,0.4472,0.5818,0.4182,-335.0,0.0,False,True,False,True,False,6
BetaBinomial,Aaron Nola,605400.0,2024-04-15,2024,VALIDATION,PHI,COL,0.1718,23.2,4.64,50.0,3.99,27,9.0,6.5,UNDER,0.4044,5%+,0.1589,0.8411,0.5633,0.4367,-150.0,0.0,False,True,False,True,False,10
BetaBinomial,Cal Quantrill,615698.0,2024-04-15,2024,VALIDATION,COL,PHI,0.1503,22.9,4.57,50.0,3.43,23,1.0,3.5,UNDER,0.1462,5%+,0.4306,0.5694,0.5768,0.4232,-175.0,1.0,False,True,False,False,False,10
BetaBinomial,Jake Irvin,663623.0,2023-09-01,2023,TRAIN,WSH,WSN,0.196,25.9,4.85,16.8,5.08,21,,5.5,UNDER,0.0269,2-5%,0.379,0.621,0.4059,0.5941,-325.0,,False,True,False,False,False,9
BetaBinomial,Eury Pérez,691587.0,2023-09-01,2023,TRAIN,MIA,WSN,0.3373,41.9,14.87,13.6,14.13,22,,6.5,OVER,0.4912,5%+,0.8171,0.1829,0.3258,0.6742,185.0,,False,True,True,False,False,2
BetaBinomial,Charlie Morton,450203.0,2023-06-25,2023,TRAIN,ATL,CIN,0.3246,24.7,4.35,27.4,8.03,25,,6.5,UNDER,0.3091,5%+,0.6494,0.3506,0.9585,0.0415,-115.0,,True,True,True,True,True,2
BetaBinomial,Kodai Senga,673540.0,2023-05-17,2023,TRAIN,NYM,TBR,0.265,24.6,2.93,30.1,6.51,24,12.0,5.5,OVER,0.1077,5%+,0.5976,0.4024,0.4899,0.5101,-235.0,1.0,False,True,False,False,False,10
BetaBinomial,Lucas Giolito,608337.0,2023-06-06,2023,TRAIN,CWS,NYY,0.2502,23.6,4.85,35.3,5.91,21,,4.5,OVER,0.0701,5%+,0.653,0.347,0.5829,0.4171,-165.0,,False,True,False,True,False,11
BetaBinomial,Clarke Schmidt,657376.0,2023-06-06,2023,TRAIN,NYY,CHW,0.2682,23.1,3.68,37.7,6.18,22,,5.5,OVER,0.038,2-5%,0.5638,0.4362,0.5258,0.4742,-130.0,,False,True,False,False,False,11
BetaBinomial,Miles Mikolas,571945.0,2023-08-01,2023,TRAIN,STL,MIN,0.2124,24.1,11.6,14.4,5.13,28,7.0,4.5,UNDER,0.027,2-5%,0.47,0.53,0.497,0.503,-115.0,0.0,False,True,False,True,False,6
BetaBinomial,Tanner Bibee,676440.0,2025-07-07,2025,OOS,CLE,HOU,0.237,26.0,5.08,40.2,6.17,19,3.0,5.5,OVER,0.1236,5%+,0.5484,0.4516,0.4248,0.5752,122.0,0.0,False,True,False,False,False,8
BetaBinomial,Colton Gordon,676467.0,2025-07-07,2025,OOS,HOU,CLE,0.1815,22.4,2.47,28.4,4.07,25,2.0,4.5,UNDER,0.0386,2-5%,0.3782,0.6218,0.4168,0.5832,-164.0,1.0,False,True,False,False,False,8
BetaBinomial,Joe Musgrove,605397.0,2024-04-15,2024,VALIDATION,SD,MIL,0.2217,25.6,8.94,50.0,5.67,26,3.0,6.5,UNDER,0.0735,5%+,0.3632,0.6368,0.4367,0.5633,-140.0,1.0,False,True,True,False,False,10
