market,matchup_type,N,raw_resid_pp,relative_resid_pp,sd_pp,t_stat,p_value,actual_hit_pct,book_implied_pct,ACTUAL_ODDS_ROI,dg_residual_pp,flag
top_5,STYLE_02_x_COURSE_B,238,1.905408548216942,0.7017436471591414,22.733061174535642,0.4762215536874686,0.6343552633380104,5.46218487394958,3.556776325732638,53.57122218880208,3.3464867740571234,EXPLORATORY
top_5,STYLE_02_x_COURSE_C,460,-1.4837182224182013,-2.687383123476002,15.894869002518563,-3.626198286255006,0.0003198522971101995,2.608695652173913,4.092413874592114,-36.25533164252801,0.5140467037288953,EXPLORATORY
top_5,STYLE_02_x_COURSE_D,251,-2.9502723207529673,-4.153937221810767,11.663637300096644,-5.642385872427823,4.5320536673945666e-08,1.1952191235059761,4.145491444258942,-71.1682163724828,-1.0370815050149453,EXPLORATORY
top_5,STYLE_03_x_COURSE_A,2411,1.6299751009662993,0.42631019990849867,25.50132766265679,0.8208457188032964,0.41181533801360487,7.009539610120282,5.379564509153982,30.29938758411945,2.5483589536862468,EXPLORATORY
top_5,STYLE_03_x_COURSE_B,3485,1.7149358586585284,0.5112709576007272,26.5429579192901,1.1371118785319514,0.2555697183111147,7.862266857962698,6.1473309993041685,27.897242866093386,3.109216765203644,EXPLORATORY
top_5,STYLE_03_x_COURSE_C,6100,2.1703217876980734,0.9666568866402726,27.13780529421307,2.7820347127352516,0.005418527358397566,8.114754098360656,5.944432310662582,36.51016067262047,3.3410978338790835,EXPLORATORY
top_5,STYLE_03_x_COURSE_D,2727,1.2323199725469791,0.02865507148917814,26.100467271966505,0.057331827137252926,0.954285069509457,7.187385405207188,5.955065432660208,20.693642857195037,2.117246920993724,EXPLORATORY
top_5,STYLE_04_x_COURSE_A,603,1.5839713013555061,0.38030640029770524,23.5122628207666,0.3971895948383448,0.6913684342787397,6.633499170812604,5.049527869457098,31.368701041069947,3.12031396985306,EXPLORATORY
top_5,STYLE_04_x_COURSE_B,981,-0.11671913584146826,-1.3203840368992688,21.65205708454415,-1.9100098435277033,0.05642362759011657,4.892966360856269,5.009685496697737,-2.329869528105233,1.3998473864574381,EXPLORATORY
top_5,STYLE_04_x_COURSE_C,1633,-0.6064411603044405,-1.8101060613622413,20.491618669236242,-3.569610657579984,0.0003678623077123967,4.409063074096754,5.015504234401194,-12.091329843665143,1.0050130978515857,EXPLORATORY
top_5,STYLE_04_x_COURSE_D,651,-0.8092399180743506,-2.0129048191321512,20.641838810313253,-2.4880857936436906,0.013092680912847043,4.147465437788019,4.956705355862369,-16.326165466286003,0.9113486349166592,EXPLORATORY
