TEAM_ID,TEAM_NAME,FTM,FTA,FT_PCT,PF,PFD,FTM_RANK,FTA_RANK,FT_PCT_RANK,PF_RANK,PFD_RANK,season,OPP_OPP_FTM,OPP_OPP_FTA,OPP_OPP_FT_PCT,OPP_OPP_PF,OPP_OPP_PFD,OPP_OPP_FTM_RANK,OPP_OPP_FTA_RANK,OPP_OPP_FT_PCT_RANK,OPP_OPP_PF_RANK,OPP_OPP_PFD_RANK
1610612766,Charlotte Hornets,15.5,19.8,0.783,18.7,18.1,29,28,14,16,22,2024-25,16.9,21.4,0.79,18.1,18.7,15,13,25,9,15
1610612741,Chicago Bulls,16.0,19.7,0.809,17.6,16.8,27,29,3,6,30,2024-25,16.9,21.5,0.786,16.8,17.6,16,15,21,1,24
1610612739,Cleveland Cavaliers,17.0,21.9,0.776,18.1,18.9,15,15,17,11,11,2024-25,16.5,21.1,0.779,18.9,18.1,13,11,16,20,20
1610612742,Dallas Mavericks,17.8,23.1,0.77,17.8,18.7,6,6,24,8,16,2024-25,16.4,21.1,0.779,18.7,17.8,10,10,17,15,23
1610612743,Denver Nuggets,17.9,23.3,0.77,17.6,19.0,4,1,23,6,9,2024-25,16.1,20.7,0.777,19.0,17.6,8,8,13,22,24
1610612765,Detroit Pistons,17.2,22.3,0.774,20.7,18.9,11,11,20,27,13,2024-25,18.8,24.3,0.776,18.9,20.7,28,28,12,18,4
1610612744,Golden State Warriors,16.9,22.1,0.764,19.2,18.6,17,13,25,23,18,2024-25,16.4,21.4,0.769,18.6,19.2,11,13,5,13,8
1610612745,Houston Rockets,16.7,22.6,0.738,19.0,19.2,20,8,30,20,5,2024-25,16.4,21.7,0.759,19.2,19.0,11,16,1,26,11
1610612754,Indiana Pacers,17.0,21.6,0.789,18.7,18.8,14,18,9,15,15,2024-25,17.0,22.0,0.773,18.8,18.7,17,19,8,16,16
1610612746,LA Clippers,17.3,21.7,0.797,18.3,17.8,10,17,7,14,26,2024-25,16.2,21.0,0.772,17.8,18.3,9,9,7,5,17
1610612747,Los Angeles Lakers,18.2,23.2,0.785,17.3,19.2,2,3,13,5,6,2024-25,15.9,20.5,0.775,19.2,17.3,7,7,10,25,26
1610612763,Memphis Grizzlies,18.3,23.3,0.786,20.9,20.2,1,2,12,29,2,2024-25,18.9,24.5,0.77,20.2,20.9,29,29,6,29,2
1610612748,Miami Heat,16.0,20.2,0.791,15.5,17.0,26,27,8,1,29,2024-25,13.9,17.9,0.776,17.0,15.5,2,2,11,2,30
1610612749,Milwaukee Bucks,17.3,23.1,0.75,17.9,18.9,8,5,28,9,12,2024-25,15.9,20.3,0.783,18.9,17.9,6,5,19,19,22
1610612750,Minnesota Timberwolves,17.2,21.8,0.789,18.3,19.2,12,16,10,12,7,2024-25,15.7,20.4,0.767,19.2,18.3,5,6,4,24,19
1610612740,New Orleans Pelicans,16.5,21.9,0.754,18.3,17.9,22,14,27,13,25,2024-25,17.2,21.9,0.786,17.9,18.3,18,18,22,6,18
1610612752,New York Knicks,16.5,20.7,0.8,17.2,19.0,21,23,5,4,10,2024-25,15.4,19.5,0.789,19.0,17.2,4,4,23,21,27
1610612760,Oklahoma City Thunder,16.7,20.4,0.819,19.9,18.1,19,26,1,25,23,2024-25,18.3,23.7,0.774,18.1,19.9,25,27,9,8,6
1610612753,Orlando Magic,17.9,23.0,0.775,20.1,20.3,5,7,19,26,1,2024-25,17.9,23.4,0.766,20.3,20.1,22,24,3,30,5
1610612755,Philadelphia 76ers,17.5,22.5,0.78,19.0,18.7,7,9,15,19,17,2024-25,16.9,21.2,0.794,18.7,19.0,14,12,28,14,12
1610612756,Phoenix Suns,16.8,20.8,0.81,17.9,18.4,18,22,2,10,20,2024-25,17.2,21.8,0.79,18.4,17.9,20,17,24,11,21
1610612757,Portland Trail Blazers,16.9,22.2,0.762,19.0,19.3,16,12,26,21,3,2024-25,18.0,22.5,0.799,19.3,19.0,23,21,29,28,10
1610612758,Sacramento Kings,17.1,21.2,0.806,18.9,18.5,13,19,4,17,19,2024-25,17.6,22.4,0.783,18.5,18.9,21,20,20,12,14
1610612759,San Antonio Spurs,16.2,21.0,0.774,16.6,17.4,24,21,21,3,28,2024-25,14.6,18.5,0.79,17.4,16.6,3,3,26,3,28
1610612761,Toronto Raptors,15.8,21.1,0.748,21.2,18.1,28,20,29,30,24,2024-25,19.6,25.2,0.778,18.1,21.2,30,30,15,7,1
1610612762,Utah Jazz,17.3,22.4,0.774,18.9,19.3,8,10,22,18,4,2024-25,17.2,22.6,0.763,19.3,18.9,19,22,2,27,13
1610612764,Washington Wizards,16.0,20.6,0.778,19.7,18.2,25,25,16,24,21,2024-25,18.8,23.7,0.793,18.2,19.7,27,26,27,10,7
