Engine commit: ae55ebe32
Games: 1087 total, 0 done, 1087 to run
Workers: 10 (cores=11, avail_mem=7.6GB, peak_rss=321MB)
  [185/1087] 2021_13_DAL_NO: 62.5s, 3 iter
  [186/1087] 2021_13_DEN_KC: 61.3s, 3 iter
  [187/1087] 2021_13_IND_HOU: 61.1s, 3 iter
  [188/1087] 2021_13_JAX_LA: 64.3s, 3 iter
  [189/1087] 2021_13_MIN_DET: 68.2s, 3 iter
  [190/1087] 2021_13_SF_SEA: 49.1s, 2 iter
  [191/1087] 2021_13_NYG_MIA: 77.3s, 3 iter
  [192/1087] 2021_14_BAL_CLE: 52.0s, 2 iter
  [193/1087] 2021_13_NE_BUF: 97.2s, 4 iter
  [194/1087] 2021_14_BUF_TB: 52.7s, 2 iter
  [195/1087] 2021_13_WAS_LV: 75.7s, 3 iter
  [196/1087] 2021_14_DAL_WAS: 47.4s, 2 iter
  [197/1087] 2021_14_ATL_CAR: 72.2s, 3 iter
  [198/1087] 2021_14_CHI_GB: 65.6s, 3 iter
  [199/1087] 2021_14_LA_ARI: 40.8s, 2 iter
  [200/1087] 2021_13_TB_ATL: 118.6s, 5 iter
  [201/1087] 2021_14_DET_DEN: 82.7s, 4 iter
  [202/1087] 2021_14_JAX_TEN: 58.5s, 3 iter
  [203/1087] 2021_14_PIT_MIN: 40.1s, 2 iter
  [204/1087] 2021_14_LV_KC: 62.6s, 3 iter
  [205/1087] 2021_14_NYG_LAC: 61.7s, 3 iter
  [206/1087] 2021_14_NO_NYJ: 79.2s, 4 iter
  [207/1087] 2021_14_SF_CIN: 76.7s, 4 iter
  [208/1087] 2021_15_ARI_DET: 63.4s, 3 iter
  [209/1087] 2021_15_ATL_SF: 60.5s, 3 iter
  [210/1087] 2021_15_CIN_DEN: 58.5s, 3 iter
  [211/1087] 2021_15_CAR_BUF: 62.4s, 3 iter
  [212/1087] 2021_15_GB_BAL: 57.6s, 3 iter
  [213/1087] 2021_14_SEA_HOU: 107.5s, 5 iter
  [214/1087] 2021_15_KC_LAC: 41.5s, 2 iter
  [215/1087] 2021_15_HOU_JAX: 63.4s, 3 iter
  [216/1087] 2021_15_DAL_NYG: 85.7s, 4 iter
  [217/1087] 2021_15_NE_IND: 39.0s, 2 iter
  [218/1087] 2021_15_SEA_LA: 40.2s, 2 iter
  [219/1087] 2021_15_MIN_CHI: 61.8s, 3 iter
  [220/1087] 2021_15_NYJ_MIA: 61.4s, 3 iter
  [221/1087] 2021_15_LV_CLE: 81.5s, 4 iter
  [222/1087] 2021_15_TEN_PIT: 57.6s, 3 iter
  [223/1087] 2021_15_NO_TB: 82.3s, 4 iter
  [224/1087] 2021_16_BUF_NE: 59.4s, 3 iter
  [225/1087] 2021_16_DEN_LV: 38.8s, 2 iter
  [226/1087] 2021_16_CHI_SEA: 60.4s, 3 iter
  [227/1087] 2021_15_WAS_PHI: 82.7s, 4 iter
  [228/1087] 2021_16_BAL_CIN: 74.8s, 4 iter
  [229/1087] 2021_16_CLE_GB: 53.5s, 3 iter
  [230/1087] 2021_16_IND_ARI: 37.7s, 2 iter
  [231/1087] 2021_16_JAX_NYJ: 37.0s, 2 iter
  [232/1087] 2021_16_DET_ATL: 56.9s, 3 iter
  [233/1087] 2021_16_LAC_HOU: 57.8s, 3 iter
  [234/1087] 2021_16_TB_CAR: 38.3s, 2 iter
  [235/1087] 2021_16_LA_MIN: 56.9s, 3 iter
  [236/1087] 2021_17_ARI_DAL: 40.3s, 2 iter
  [237/1087] 2021_16_SF_TEN: 54.1s, 3 iter
  [238/1087] 2021_16_PIT_KC: 57.1s, 3 iter
  [239/1087] 2021_16_NYG_PHI: 58.9s, 3 iter
  [240/1087] 2021_17_ATL_BUF: 38.2s, 2 iter
  [241/1087] 2021_16_WAS_DAL: 59.7s, 3 iter
  [242/1087] 2021_16_MIA_NO: 77.5s, 4 iter
  [243/1087] 2021_17_CAR_NO: 38.2s, 2 iter
  [244/1087] 2021_17_CLE_PIT: 36.5s, 2 iter
  [245/1087] 2021_17_HOU_SF: 36.7s, 2 iter
  [246/1087] 2021_17_LV_IND: 36.2s, 2 iter
  [247/1087] 2021_17_DET_SEA: 57.8s, 3 iter
  [248/1087] 2021_17_MIA_TEN: 37.9s, 2 iter
  [249/1087] 2021_17_KC_CIN: 55.3s, 3 iter
  [250/1087] 2021_17_LA_BAL: 55.7s, 3 iter
  [251/1087] 2021_17_DEN_LAC: 74.9s, 4 iter
  [252/1087] 2021_17_JAX_NE: 75.6s, 4 iter
  [253/1087] 2021_18_CAR_TB: 38.4s, 2 iter
  [254/1087] 2021_17_PHI_WAS: 58.7s, 3 iter
  [255/1087] 2021_17_MIN_GB: 72.5s, 4 iter
  [256/1087] 2021_17_NYG_CHI: 76.4s, 4 iter
  [257/1087] 2021_18_DAL_PHI: 39.9s, 2 iter
  [258/1087] 2021_17_TB_NYJ: 57.2s, 3 iter
