game_pk,date,season,home_team,away_team,temperature,total_line,f5_total,f5_ratio,total_over_price,actual_total,over_result,month,early_heavy,cold_park,warm_day
717044,2023-08-11,2023,PHI,MIN,83.1,9.5,5.5,0.5789473684210527,-115.0,15,1,8,True,True,True
717040,2023-08-11,2023,NYM,ATL,79.0,9.5,5.5,0.5789473684210527,-112.0,7,0,8,True,True,True
717039,2023-08-11,2023,KCR,STL,82.7,9.5,5.5,0.5789473684210527,-110.0,20,1,8,True,True,True
717033,2023-08-12,2023,BOS,DET,78.4,9.0,5.5,0.6111111111111112,-120.0,8,0,8,True,True,True
717018,2023-08-12,2023,SEA,BAL,76.1,7.5,4.5,0.6,-115.0,1,0,8,True,True,True
717013,2023-08-13,2023,NYM,ATL,82.3,9.5,5.5,0.5789473684210527,-120.0,13,1,8,True,True,True
717002,2023-08-14,2023,NYM,PIT,77.1,10.5,6.0,0.5714285714285714,-110.0,9,0,8,True,True,True
716983,2023-08-15,2023,MIN,DET,78.3,7.5,4.5,0.6,-115.0,8,1,8,True,True,True
716976,2023-08-16,2023,MIN,DET,80.7,8.0,5.5,0.6875,-108.0,15,1,8,True,True,True
716973,2023-08-16,2023,CIN,CLE,78.6,9.5,5.5,0.5789473684210527,-105.0,9,0,8,True,True,True
716969,2023-08-16,2023,STL,OAK,79.6,9.0,5.5,0.6111111111111112,-120.0,8,0,8,True,True,True
716966,2023-08-17,2023,WSN,BOS,85.0,9.5,5.5,0.5789473684210527,-115.0,17,1,8,True,True,True
716952,2023-08-18,2023,STL,NYM,76.4,8.5,5.5,0.6470588235294118,-115.0,8,0,8,True,True,True
716937,2023-08-19,2023,CHC,KCR,77.8,9.0,5.5,0.6111111111111112,-115.0,10,1,8,True,True,True
716941,2023-08-19,2023,WSN,PHI,82.4,8.5,5.5,0.6470588235294118,-120.0,15,1,8,True,True,True
716935,2023-08-19,2023,CIN,TOR,82.2,9.5,5.5,0.5789473684210527,-115.0,7,0,8,True,True,True
716935,2023-08-19,2023,CIN,TOR,82.2,9.0,5.5,0.6111111111111112,-120.0,7,0,8,True,True,True
716933,2023-08-19,2023,COL,CHW,82.9,11.5,6.5,0.5652173913043478,-115.0,16,1,8,True,True,True
716928,2023-08-20,2023,NYY,BOS,81.9,9.0,5.5,0.6111111111111112,-120.0,11,1,8,True,True,True
716922,2023-08-20,2023,CLE,DET,80.4,7.5,5.5,0.7333333333333333,-115.0,5,0,8,True,True,True
716924,2023-08-20,2023,CIN,TOR,85.6,9.0,5.5,0.6111111111111112,-120.0,13,1,8,True,True,True
716923,2023-08-20,2023,MIN,PIT,79.1,9.5,5.5,0.5789473684210527,-112.0,2,0,8,True,True,True
716917,2023-08-20,2023,CHC,KCR,80.4,9.0,5.5,0.6111111111111112,-120.0,7,0,8,True,True,True
716899,2023-08-22,2023,PHI,SFG,80.8,9.0,5.5,0.6111111111111112,-115.0,7,0,8,True,True,True
716899,2023-08-22,2023,PHI,SFG,80.8,8.5,5.5,0.6470588235294118,-118.0,7,0,8,True,True,True
716871,2023-08-24,2023,CLE,LAD,80.6,9.0,5.5,0.6111111111111112,-115.0,12,1,8,True,True,True
716864,2023-08-24,2023,CHW,OAK,83.4,8.5,5.5,0.6470588235294118,-115.0,13,1,8,True,True,True
716861,2023-08-25,2023,PHI,STL,89.7,9.5,5.5,0.5789473684210527,-112.0,9,0,8,True,True,True
716840,2023-08-26,2023,NYM,LAA,75.3,9.0,5.5,0.6111111111111112,-110.0,8,0,8,True,True,True
716840,2023-08-26,2023,NYM,LAA,75.3,9.0,5.5,0.6111111111111112,-120.0,8,0,8,True,True,True
716842,2023-08-26,2023,PIT,CHC,78.5,9.5,5.5,0.5789473684210527,-105.0,16,1,8,True,True,True
716835,2023-08-27,2023,PHI,STL,85.4,9.0,5.5,0.6111111111111112,-105.0,3,0,8,True,True,True
716817,2023-08-28,2023,PHI,LAA,77.1,9.0,5.5,0.6111111111111112,-112.0,10,1,8,True,True,True
716813,2023-08-28,2023,MIN,CLE,83.9,7.5,4.5,0.6,-115.0,16,1,8,True,True,True
716806,2023-08-29,2023,PHI,LAA,81.1,9.5,5.5,0.5789473684210527,-115.0,19,1,8,True,True,True
716800,2023-08-29,2023,BAL,CHW,80.8,9.0,5.5,0.6111111111111112,-115.0,12,1,8,True,True,True
716800,2023-08-29,2023,BAL,CHW,80.8,8.5,5.5,0.6470588235294118,-122.0,12,1,8,True,True,True
716796,2023-08-29,2023,MIN,CLE,79.0,7.5,4.5,0.6,-115.0,6,0,8,True,True,True
716786,2023-08-30,2023,BAL,CHW,86.2,8.5,10.5,1.2352941176470589,-122.0,15,1,8,True,True,True
716783,2023-08-30,2023,NYM,TEX,81.4,9.5,5.5,0.5789473684210527,-105.0,11,1,8,True,True,True
716764,2023-09-01,2023,KCR,BOS,83.3,9.5,5.5,0.5789473684210527,-115.0,15,1,9,True,True,True
716760,2023-09-02,2023,WSN,MIA,84.7,9.0,5.5,0.6111111111111112,-110.0,16,1,9,True,True,True
