axis,band,split,dataset,N,win_rate,implied,residual,roi_pct
day_night,B,day_home_dog,Disc,157,0.445859872611465,0.468005279127555,-0.022145406516090038,-8.72586486824027
day_night,B,day_home_dog,Val,71,0.4084507042253521,0.46950841176380687,-0.06105770753845474,-16.616404308202156
day_night,B,day_home_dog,OOS,66,0.42424242424242425,0.47111470689469687,-0.04687228265227261,-13.99484539751633
day_night,B,night_home_dog,Disc,416,0.45913461538461536,0.4690525687881389,-0.009917953403523527,-6.304534313725488
day_night,B,night_home_dog,Val,164,0.4451219512195122,0.4697286942712815,-0.024606743051769298,-9.03419416547107
day_night,B,night_home_dog,OOS,188,0.5797872340425532,0.46991423059963966,0.10987300344291351,17.75014298146865
day_night,B,day_home_fav,Disc,198,0.5555555555555556,0.5321147435419407,0.02344081201361492,0.1876283801818699
day_night,B,day_home_fav,Val,115,0.5130434782608696,0.5313800955363989,-0.018336617275529266,-7.521632813827499
day_night,B,day_home_fav,OOS,127,0.5433070866141733,0.5276253134902492,0.015681773123924048,-1.5739288943548857
day_night,B,night_home_fav,Disc,510,0.5196078431372549,0.53176375395663,-0.01215591081937506,-6.393631351985793
day_night,B,night_home_fav,Val,235,0.4723404255319149,0.52997953911177,-0.05763911357985507,-14.753521428862678
day_night,B,night_home_fav,OOS,262,0.5305343511450382,0.5293835815642243,0.0011507695808139484,-4.4348373583398
day_night,C,day_game,Disc,570,0.5263157894736842,0.506318813244776,0.01999697622890817,-0.49198741745186414
day_night,C,day_game,Val,293,0.46757679180887374,0.5089288824460086,-0.04135209063713491,-11.92347347186181
day_night,C,day_game,OOS,290,0.5,0.5074428735660821,-0.007442873566082087,-5.9548201235194815
day_night,C,night_game,Disc,1487,0.4976462676529926,0.5067258904721412,-0.009079622819148647,-6.071709107994973
day_night,C,night_game,Val,676,0.492603550295858,0.5095969652213378,-0.01699341492547979,-7.377911022978472
day_night,C,night_game,OOS,720,0.5319444444444444,0.5075544415615851,0.024390002882859307,0.8807716659222201
day_night,C,day_home_dog,Disc,245,0.4530612244897959,0.45897907917219866,-0.005917854682402746,-5.093717486994797
day_night,C,day_home_dog,Val,115,0.40869565217391307,0.4599210778788645,-0.05122542570495142,-14.55447570332481
day_night,C,day_home_dog,OOS,109,0.43119266055045874,0.45956093782189633,-0.028368277271437592,-10.10697060767044
day_night,C,night_home_dog,Disc,638,0.4373040752351097,0.4597691437745663,-0.022465068539456567,-8.897627389513794
day_night,C,night_home_dog,Val,264,0.44696969696969696,0.4594274505684074,-0.01245775359871043,-6.513666072489604
day_night,C,night_home_dog,OOS,293,0.5494880546075085,0.4603809159779719,0.08910713862953656,13.788487646812644
day_night,C,day_home_fav,Disc,325,0.5815384615384616,0.5420056896994881,0.03953277183897341,2.977009096511276
day_night,C,day_home_fav,Val,178,0.5056179775280899,0.5405912280933209,-0.03497325056523104,-10.22366865939975
day_night,C,day_home_fav,OOS,181,0.5414364640883977,0.5362778514451774,0.005158612643220373,-3.4543538098595175
day_night,C,night_home_fav,Disc,849,0.5429917550058893,0.542012585870319,0.0009791691355702792,-3.948109739786485
day_night,C,night_home_fav,Val,412,0.5218446601941747,0.5417444212125361,-0.01989976101836133,-7.931699049505311
day_night,C,night_home_fav,OOS,427,0.5199063231850117,0.5399240972899192,-0.02001777410490746,-7.976279346726245
