event_id,game_date,home_team,away_team,book_open,book_noon,book_move,dk_open,dk_noon,dk_move,bookmaker
e88ba61e3ebe7b57dad845c1b581c953,2025-08-23,Los Angeles Angels,Chicago Cubs,9.5,9.5,0.0,9.5,9.5,0.0,bovada
ccd0ca68da5f8a7784bfc75cc2d3ff80,2025-08-23,New York Yankees,Boston Red Sox,8.0,8.0,0.0,8.0,8.0,0.0,bovada
17e299bc2d86e5dcff60877abd6b9bbc,2025-08-24,Chicago White Sox,Minnesota Twins,9.0,9.0,0.0,9.0,9.0,0.0,bovada
d99e193d9d19460b022a507fb0b8818c,2025-08-24,Texas Rangers,Cleveland Guardians,8.0,7.5,-0.5,8.0,7.5,-0.5,bovada
c03e718c5c5d0add688d3695a5c958e2,2025-08-24,New York Yankees,Boston Red Sox,8.5,8.5,0.0,8.5,8.5,0.0,bovada
0490fc2cf5b53783ae2b84b7048865ea,2025-08-26,Cleveland Guardians,Tampa Bay Rays,7.5,7.5,0.0,7.5,7.5,0.0,bovada
637da102288bb3af6df60c2183166171,2025-08-27,Houston Astros,Colorado Rockies,8.0,8.0,0.0,8.0,8.0,0.0,bovada
bbf5cb06833ac33dfe0f66f1f50db968,2025-08-27,New York Yankees,Washington Nationals,8.5,8.5,0.0,8.5,8.5,0.0,bovada
b227b90f9d5dde6175600f66cf0f099b,2025-08-27,Cleveland Guardians,Tampa Bay Rays,7.5,7.0,-0.5,7.5,7.0,-0.5,bovada
497422a772618f8fb48adecd30be23c4,2025-08-27,Baltimore Orioles,Boston Red Sox,9.0,9.0,0.0,9.0,9.0,0.0,bovada
a90d928a4a17eb0cef36b3dc57d026aa,2025-08-28,Baltimore Orioles,Boston Red Sox,7.5,8.0,0.5,7.5,8.0,0.5,bovada
8240a59cc68a378dbb46d68deb1df611,2025-08-30,Chicago White Sox,New York Yankees,9.0,8.5,-0.5,9.0,8.5,-0.5,bovada
236530035c5d477cb56ec7f49c6d9391,2025-08-31,Los Angeles Dodgers,Arizona Diamondbacks,8.5,9.0,0.5,8.5,8.5,0.0,bovada
37fffc1988f2088d8f0c4507effa0b59,2025-08-31,Los Angeles Dodgers,Arizona Diamondbacks,9.0,9.0,0.0,9.0,9.0,0.0,bovada
2c767ef594017c47ddb39db9fff6cad1,2025-09-02,Detroit Tigers,New York Mets,8.5,8.5,0.0,8.5,8.5,0.0,bovada
a53a3a6f8dacc3cbce0c94211a736aed,2025-09-05,Tampa Bay Rays,Cleveland Guardians,8.0,8.0,0.0,8.0,8.0,0.0,bovada
8210c8598444771930868ec1fc69c3cd,2025-09-07,Arizona Diamondbacks,Boston Red Sox,9.0,9.0,0.0,9.0,9.0,0.0,bovada
c4f9d3956c90a48af0969ec51ad2ffbe,2025-09-07,Arizona Diamondbacks,Boston Red Sox,9.0,9.0,0.0,9.0,9.0,0.0,bovada
ab9e017abf3f75fb35214cee78d43b80,2025-09-08,Philadelphia Phillies,New York Mets,8.5,8.5,0.0,8.5,9.0,0.5,bovada
b007cf11ed53ca64967bd0a001982166,2025-09-09,Atlanta Braves,Chicago Cubs,8.5,8.5,0.0,8.5,8.5,0.0,bovada
6c0933b69d08533b27b5a8757dd06bd2,2025-09-10,Los Angeles Angels,Minnesota Twins,9.0,9.0,0.0,9.0,9.0,0.0,bovada
678293ea5b4898fa56d82e13434e755b,2025-09-10,Los Angeles Angels,Minnesota Twins,9.0,9.0,0.0,9.0,9.0,0.0,bovada
9aebd0afb1d9ff4c75009968def43dcf,2025-09-12,Chicago Cubs,Tampa Bay Rays,7.5,7.5,0.0,7.5,7.5,0.0,bovada
beb530358cb5159eb6fc08312fa475c9,2025-09-13,Chicago Cubs,Tampa Bay Rays,8.5,8.0,-0.5,8.5,8.0,-0.5,bovada
ffc50051ab5c72e18be6976f4d1986d5,2025-09-16,Pittsburgh Pirates,Chicago Cubs,7.0,6.5,-0.5,7.0,6.5,-0.5,bovada
0e7fcd074542b0a9864c76731794d719,2025-09-16,Minnesota Twins,New York Yankees,9.0,9.0,0.0,9.0,9.0,0.0,bovada
583beee0dc7282f5e66f9d4cbe902546,2025-09-17,Detroit Tigers,Cleveland Guardians,8.0,8.0,0.0,8.0,8.0,0.0,bovada
f2d8fdf9e9fb0f3c5b07bc7be6a51f73,2025-09-17,Boston Red Sox,Oakland Athletics,9.0,9.0,0.0,9.0,9.0,0.0,bovada
3be916b51fcb21fd7448573e3bb1f7db,2025-09-19,Pittsburgh Pirates,Oakland Athletics,8.5,8.5,0.0,8.5,8.5,0.0,bovada
b72318e2290aae5374fe19d6ffeb76e7,2025-09-19,Tampa Bay Rays,Boston Red Sox,7.0,7.0,0.0,7.0,7.0,0.0,bovada
08d8bb8e78841634dac5a77771e0f880,2025-09-20,St. Louis Cardinals,Milwaukee Brewers,7.5,7.5,0.0,7.5,7.5,0.0,bovada
e6099840ae67e0946127142035013a24,2025-09-20,New York Mets,Washington Nationals,8.5,8.5,0.0,8.5,8.5,0.0,bovada
73585f5059ae2e9fd25009424e61cc9b,2025-09-20,Tampa Bay Rays,Boston Red Sox,8.5,8.5,0.0,8.5,8.0,-0.5,bovada
517af51714edaccec52f8d5ddd34ff81,2025-09-20,St. Louis Cardinals,Milwaukee Brewers,8.5,8.5,0.0,9.0,8.5,-0.5,bovada
551761f7cca9fa9d71eea9089e324005,2025-09-21,Baltimore Orioles,New York Yankees,8.5,8.5,0.0,8.5,8.5,0.0,bovada
d7629165cbd30531b701cd5be5045baa,2025-09-24,Texas Rangers,Minnesota Twins,8.5,8.0,-0.5,8.5,8.0,-0.5,bovada
87c8b8eb458dd38c4201321bb1018625,2025-09-24,Baltimore Orioles,Tampa Bay Rays,8.5,8.5,0.0,8.5,8.0,-0.5,bovada
c1bf30e40067c73e178ab3b8c87b551b,2025-09-24,Toronto Blue Jays,Boston Red Sox,7.5,7.5,0.0,7.5,7.5,0.0,bovada
a5b58d10f77c3c3b568fcda09f391035,2025-09-25,Chicago Cubs,New York Mets,7.0,7.0,0.0,7.0,7.0,0.0,bovada
fdff3d4660818c02927b46423b9f4e94,2025-09-25,Baltimore Orioles,Tampa Bay Rays,8.5,8.5,0.0,8.5,8.5,0.0,bovada
f1b048b4c8993dd3a7ca3e99283c177d,2025-09-25,Toronto Blue Jays,Boston Red Sox,8.0,8.0,0.0,8.0,7.5,-0.5,bovada
b874f7ec2535aff3fb00b0eb3150e66b,2025-09-25,Chicago Cubs,New York Mets,7.5,7.5,0.0,7.5,7.5,0.0,bovada
2421b51cd041afd2f0939006be95712f,2024-04-06,Chicago Cubs,Los Angeles Dodgers,8.0,8.0,0.0,8.0,8.0,0.0,fanduel
e13de0c193505d1010366c81c9db7b9d,2024-04-07,Kansas City Royals,Chicago White Sox,9.0,9.0,0.0,8.5,9.0,0.5,fanduel
