features,feature_a,feature_b,depth,n_flagged,z_score,mean_residual,z_a,z_b,controlled_z,bucket_consistent,month_consistent,direction,plausibility,val_n,val_z,val_mean_residual,val_direction,val_consistent,val_attenuation,val_status,oos_n,oos_z,oos_mean_residual,oos_direction,oos_consistent,oos_attenuation,oos_status,synthetic_roi,real_roi,games_per_season
opp_sp_contact_barrel_allowed_last_10_HIGH × opp_pl_pfx_x_std_last_5_HIGH,opp_sp_contact_barrel_allowed_last_10_HIGH,opp_pl_pfx_x_std_last_5_HIGH,2,112,2.220449562243347,1.40625,1.093694488851957,0.09343892361773126,1.7495223720251476,3,4,OVER,PLAUSIBLE,117,1.8147849306402226,1.1452991452991452,OVER,True,18.269481932896348,PASS,218,1.793968379818949,0.9059633027522935,OVER,True,19.206974554896842,THREE_STAGE_SURVIVOR,3.92948173322005,3.917098393259999,142
opp_sp_contact_barrel_allowed_last_10_HIGH × lineup_quality_ev_HIGH,opp_sp_contact_barrel_allowed_last_10_HIGH,lineup_quality_ev_HIGH,2,119,2.5247432856563115,1.504201680672269,1.093694488851957,1.5308793476378326,3.0493948049500728,4,3,OVER,PLAUSIBLE,186,0.22300387160280008,0.5,OVER,True,91.16726548517863,WEAK,241,0.8139583866567872,0.5954356846473029,OVER,True,67.76074655664655,THREE_STAGE_SURVIVOR,-2.9214641691012226,-3.109303841680189,176
opp_sp_contact_ev_allowed_last_3_HIGH × batting_total_bip_last_3_HIGH,opp_sp_contact_ev_allowed_last_3_HIGH,batting_total_bip_last_3_HIGH,2,135,2.051160898725609,1.2555555555555555,1.0282333462427529,1.6890867690033482,2.809500376134757,4,4,OVER,PLAUSIBLE,179,1.1220394455967722,0.7877094972067039,OVER,True,45.29734618605991,PASS,295,3.7282344941074146,1.335593220338983,OVER,True,-81.76216680143305,THREE_STAGE_SURVIVOR,7.182748991622708,7.374520099509341,195
opp_sp_contact_ev_allowed_last_3_HIGH × batting_total_bip_last_5_HIGH,opp_sp_contact_ev_allowed_last_3_HIGH,batting_total_bip_last_5_HIGH,2,138,2.6233481610788676,1.4673913043478262,1.0282333462427529,2.043912227908798,3.236311154200356,4,4,OVER,PLAUSIBLE,174,0.4291640389162728,0.5689655172413793,OVER,True,83.64059924322905,WEAK,281,4.119013947982457,1.4644128113879002,OVER,True,-57.013621336806764,THREE_STAGE_SURVIVOR,9.764309764309766,9.874797198358198,189
opp_sp_contact_ev_allowed_last_3_HIGH × opp_pl_two_strike_ff_pct_last_3_HIGH,opp_sp_contact_ev_allowed_last_3_HIGH,opp_pl_two_strike_ff_pct_last_3_HIGH,2,111,2.0932714040827545,1.3558558558558558,1.0282333462427529,1.3500367342608413,2.0452091573028515,4,3,OVER,PLAUSIBLE,157,0.02696828593927186,0.4394904458598726,OVER,True,98.7116679716413,WEAK,221,1.9301900885326866,0.9434389140271493,OVER,True,7.790739186136644,THREE_STAGE_SURVIVOR,3.57833655705996,3.58944461166415,156
opp_sp_contact_ev_allowed_last_3_LOW × lineup_depth_dropoff_hh_LOW,opp_sp_contact_ev_allowed_last_3_LOW,lineup_depth_dropoff_hh_LOW,2,119,-2.2222160030771274,-0.46638655462184875,-1.2767391744892946,-0.3519931991866946,-2.713406972603562,3,4,UNDER,PLAUSIBLE,199,-1.8569720590900989,-0.1306532663316583,UNDER,True,16.436023477522937,PASS,145,-1.803947444889075,-0.3137931034482759,UNDER,True,18.82213779438503,THREE_STAGE_SURVIVOR,13.943488943488944,13.734383875205625,148
opp_sp_contact_ev_allowed_last_3_LOW × lineup_depth_dropoff_ev_LOW,opp_sp_contact_ev_allowed_last_3_LOW,lineup_depth_dropoff_ev_LOW,2,113,-2.6806138223373117,-0.6858407079646017,-1.2767391744892946,-1.4241824885144485,-2.9356323662197505,4,4,UNDER,PLAUSIBLE,210,-0.7993993862822736,0.19523809523809524,UNDER,True,70.17849495436639,WEAK,143,-2.4355597872458397,-0.5559440559440559,UNDER,True,9.141713478064577,THREE_STAGE_SURVIVOR,15.393939393939391,14.98690654780399,150
opp_sp_contact_ev_allowed_last_5_HIGH × batting_total_bip_last_3_HIGH,opp_sp_contact_ev_allowed_last_5_HIGH,batting_total_bip_last_3_HIGH,2,128,2.4615926119727267,1.44140625,1.5570764105667472,1.6890867690033482,2.9883645612706076,4,3,OVER,PLAUSIBLE,165,0.4657929111524149,0.5848484848484848,OVER,True,81.07757925146163,WEAK,285,2.819355034562106,1.1105263157894736,OVER,True,-14.533778694707223,THREE_STAGE_SURVIVOR,5.830039525691701,6.171953017956366,184
opp_sp_contact_ev_allowed_last_5_HIGH × batting_total_bip_last_5_HIGH,opp_sp_contact_ev_allowed_last_5_HIGH,batting_total_bip_last_5_HIGH,2,140,2.540860045444376,1.4285714285714286,1.5570764105667472,2.043912227908798,2.8427307466212497,4,3,OVER,PLAUSIBLE,162,0.8534001560512176,0.7160493827160493,OVER,True,66.41294125659076,WEAK,282,2.934702406087966,1.1453900709219857,OVER,True,-15.500356320283275,THREE_STAGE_SURVIVOR,8.009828009828007,8.347190704748254,185
opp_sp_contact_ev_allowed_last_5_HIGH × opp_pl_ff_pct_last_3_HIGH,opp_sp_contact_ev_allowed_last_5_HIGH,opp_pl_ff_pct_last_3_HIGH,2,113,2.6477551225155076,1.584070796460177,1.5570764105667472,1.7918298553814225,2.0588737505121055,3,3,OVER,PLAUSIBLE,132,0.16743923448442427,0.49242424242424243,OVER,True,93.67618126538272,WEAK,226,1.3494535328747477,0.7632743362831859,OVER,True,49.03405071717148,THREE_STAGE_SURVIVOR,5.299633102323683,5.244568820579665,148
