game_id,game_date,season_year,home_team,away_team,home_score,away_score,total_goals,home_goals_reg,away_goals_reg,went_to_ot,went_to_so,ot_goals,reg_total_goals,home_goalie_id,home_goalie_name,home_goalie_starter,home_goalie_sa,home_goalie_ga,home_goalie_toi,away_goalie_id,away_goalie_name,away_goalie_starter,away_goalie_sa,away_goalie_ga,away_goalie_toi,home_pp_opportunities,home_pp_goals,home_pk_goals_against,away_pp_opportunities,away_pp_goals,away_pk_goals_against,home_pp_pct,away_pp_pct,home_pk_pct,away_pk_pct,home_rest_days,home_is_b2b,home_games_last_7,away_rest_days,away_is_b2b,away_games_last_7,home_xgoals,home_xgoals_against,home_corsi_pct,home_fenwick_pct,home_shots_on_goal,home_hd_shots,home_hd_shots_against,away_xgoals,away_xgoals_against,away_corsi_pct,away_fenwick_pct,away_shots_on_goal,away_hd_shots,away_hd_shots_against,total_line,over_price,under_price,moneypuck_available,market_available,pregame_confirmed
2021020034,2021-10-17,2021,OTT,DAL,3,2,5,3,2,False,False,0,5,8479406,F. Gustavsson,True,34,2,60:00,8471418,A. Khudobin,True,27,3,58:45,3,2,0,2,0,0,0.6667,0.0,1.0,1.0,1,True,2,1,True,2,2.491,2.082,0.4643,0.4699,27.0,2.0,2.0,2.082,2.491,0.5357,0.5301,34.0,2.0,2.0,5.5,-105,-115,True,True,
2021020035,2021-10-18,2021,TOR,NYR,1,2,3,1,1,True,False,1,2,8475789,J. Campbell,True,23,2,63:48,8478048,I. Shesterkin,True,41,1,63:48,3,0,0,3,0,0,0.0,0.0,1.0,1.0,2,False,3,2,False,3,3.425,2.184,0.5935,0.6082,41.0,1.0,1.0,2.184,3.425,0.4065,0.3918,23.0,1.0,1.0,6.0,-115,-105,True,True,
2021020036,2021-10-18,2021,PHI,SEA,6,1,7,6,1,False,False,0,7,8479394,C. Hart,True,24,1,60:00,8475831,P. Grubauer,True,20,5,28:49,2,0,0,4,0,0,0.0,0.0,1.0,1.0,3,False,1,2,False,3,3.179,2.337,0.5294,0.5429,27.0,3.0,3.0,2.337,3.179,0.4706,0.4571,24.0,3.0,3.0,6.0,-110,-110,True,True,
2021020037,2021-10-18,2021,CGY,ANA,2,3,5,2,2,True,False,1,4,8474593,J. Markstrom,True,27,3,63:23,8476434,J. Gibson,True,43,2,63:26,3,0,0,2,1,0,0.0,0.5,1.0,1.0,2,False,1,3,False,2,3.352,1.976,0.6148,0.5773,43.0,2.0,1.0,1.976,3.352,0.3852,0.4227,27.0,1.0,2.0,5.5,-110,-110,True,True,
2021020038,2021-10-18,2021,ARI,STL,4,7,11,4,7,False,False,0,11,8475622,C. Hutton,True,21,6,36:17,8476412,J. Binnington,True,26,4,60:00,4,1,0,2,1,0,0.25,0.5,1.0,1.0,2,False,2,2,False,1,3.227,2.947,0.5149,0.4756,26.0,4.0,3.0,2.947,3.227,0.4851,0.5244,33.0,3.0,4.0,5.5,-110,-110,True,True,
2021020039,2021-10-19,2021,BUF,VAN,5,2,7,5,2,False,False,0,7,8467950,C. Anderson,True,34,2,60:00,8477967,T. Demko,True,42,4,59:16,3,0,0,3,0,0,0.0,0.0,1.0,1.0,3,False,2,3,False,3,4.59,1.642,0.5963,0.5851,43.0,3.0,0.0,1.642,4.59,0.4037,0.4149,34.0,0.0,3.0,5.5,-120,100,True,True,
2021020040,2021-10-19,2021,MTL,SJS,0,5,5,0,5,False,False,0,5,8474596,J. Allen,True,25,5,59:58,8478499,A. Hill,True,21,0,60:00,2,0,0,4,2,0,0.0,0.5,1.0,1.0,3,False,3,3,False,1,1.31,2.706,0.5567,0.5224,21.0,0.0,5.0,2.706,1.31,0.4433,0.4776,25.0,5.0,0.0,6.0,-105,-115,True,True,
2021020042,2021-10-19,2021,TBL,FLA,1,4,5,1,4,False,False,0,5,8476883,A. Vasilevskiy,True,31,3,57:45,8481519,S. Knight,True,31,1,59:31,6,0,0,3,1,0,0.0,0.3333,1.0,1.0,3,False,2,3,False,2,2.651,3.525,0.4815,0.506,31.0,0.0,5.0,3.525,2.651,0.5185,0.494,32.0,5.0,0.0,6.0,-120,100,True,True,
2021020043,2021-10-19,2021,NJD,SEA,4,2,6,4,2,False,False,0,6,8473541,J. Bernier,True,29,2,60:00,8478916,J. Daccord,True,32,3,58:32,3,0,0,5,1,0,0.0,0.2,1.0,1.0,4,False,1,1,True,3,4.683,2.738,0.4828,0.5114,33.0,5.0,3.0,2.738,4.683,0.5172,0.4886,29.0,3.0,5.0,5.5,-120,100,True,True,
2021020044,2021-10-19,2021,PIT,DAL,1,2,3,1,1,True,True,0,2,8477465,T. Jarry,True,29,1,65:00,8474651,B. Holtby,True,28,1,65:00,0,0,0,0,0,0,,,,,3,False,2,2,False,3,1.876,2.658,0.5644,0.5325,28.0,0.0,3.0,2.658,1.876,0.4356,0.4675,29.0,3.0,0.0,5.5,-110,-110,True,True,
2021020045,2021-10-19,2021,WSH,COL,6,3,9,6,3,False,False,0,9,8478492,I. Samsonov,True,27,3,60:00,8475311,D. Kuemper,True,39,5,57:44,3,0,1,4,1,0,0.0,0.25,0.75,1.0,3,False,2,3,False,2,5.094,2.545,0.5965,0.6067,40.0,5.0,4.0,2.545,5.094,0.4035,0.3933,27.0,4.0,5.0,6.0,-115,-105,True,True,
2021020041,2021-10-19,2021,DET,CBJ,4,1,5,4,1,False,False,0,5,8471306,T. Greiss,True,23,1,59:54,8476914,J. Korpisalo,True,43,2,58:35,4,0,0,4,1,0,0.0,0.25,1.0,1.0,3,False,2,3,False,2,6.738,2.949,0.5575,0.5957,45.0,8.0,3.0,2.949,6.738,0.4425,0.4043,23.0,3.0,8.0,5.5,-115,-105,True,True,
2021020046,2021-10-19,2021,CHI,NYI,1,4,5,1,4,False,False,0,5,8470594,M. Fleury,True,29,4,59:54,8478009,I. Sorokin,True,40,1,60:00,3,0,0,2,0,0,0.0,0.0,1.0,1.0,3,False,3,3,False,2,2.87,0.944,0.5847,0.5747,40.0,3.0,0.0,0.944,2.87,0.4153,0.4253,29.0,0.0,3.0,6.0,-105,-115,True,True,
2021020047,2021-10-19,2021,NSH,LAK,2,1,3,2,1,False,False,0,3,8477424,J. Saros,True,26,1,59:34,8477361,C. Petersen,True,31,2,57:58,2,1,0,2,0,0,0.5,0.0,1.0,1.0,3,False,2,3,False,2,3.552,1.378,0.5741,0.5641,31.0,3.0,0.0,1.378,3.552,0.4259,0.4359,26.0,0.0,3.0,5.5,-115,-105,True,True,
2021020048,2021-10-19,2021,MIN,WPG,6,5,11,5,5,True,False,1,10,8475660,C. Talbot,True,30,5,61:46,8476945,C. Hellebuyck,True,44,6,63:20,5,3,0,6,2,0,0.6,0.3333,1.0,1.0,3,False,2,3,False,2,3.639,2.619,0.5263,0.5684,44.0,2.0,2.0,2.619,3.639,0.4737,0.4316,30.0,2.0,2.0,5.5,-110,-110,True,True,
2021020049,2021-10-19,2021,EDM,ANA,6,5,11,6,5,False,False,0,11,8469608,M. Smith,True,15,4,31:04,8476932,A. Stolarz,True,36,5,57:41,6,2,0,1,0,0,0.3333,0.0,1.0,1.0,3,False,2,1,True,3,4.926,3.723,0.4919,0.5054,37.0,7.0,5.0,3.723,4.926,0.5081,0.4946,36.0,5.0,7.0,5.5,-115,-105,True,True,
2021020050,2021-10-20,2021,PHI,BOS,6,3,9,6,3,False,False,0,9,8474889,M. Jones,True,40,3,60:00,8480280,J. Swayman,True,24,5,59:29,2,2,0,1,0,0,1.0,0.0,1.0,1.0,2,False,2,4,False,1,2.486,3.678,0.4,0.3797,25.0,3.0,5.0,3.678,2.486,0.6,0.6203,40.0,5.0,3.0,6.0,100,-120,True,True,
2021020051,2021-10-20,2021,VGK,STL,1,3,4,1,3,False,False,0,4,8475215,R. Lehner,True,37,2,58:49,8476412,J. Binnington,True,43,1,60:00,2,0,0,3,0,0,0.0,0.0,1.0,1.0,6,False,1,2,False,2,3.714,3.841,0.4885,0.5253,43.0,5.0,5.0,3.841,3.714,0.5115,0.4747,38.0,5.0,5.0,6.0,100,-120,True,True,
2021020052,2021-10-21,2021,MTL,CAR,1,4,5,1,4,False,False,0,5,8474596,J. Allen,True,32,3,57:28,8475883,F. Andersen,True,28,1,60:00,6,1,0,1,1,0,0.1667,1.0,1.0,1.0,2,False,2,5,False,1,3.28,3.654,0.5175,0.4699,28.0,5.0,3.0,3.654,3.28,0.4825,0.5301,33.0,3.0,5.0,5.5,-115,-105,True,True,
2021020053,2021-10-21,2021,OTT,SJS,1,2,3,1,2,False,False,0,3,8476899,M. Murray,True,24,2,58:08,8473503,J. Reimer,True,31,1,60:00,3,0,0,3,1,0,0.0,0.3333,1.0,1.0,4,False,2,2,False,2,3.561,2.32,0.5917,0.619,31.0,5.0,3.0,2.32,3.561,0.4083,0.381,24.0,3.0,5.0,6.0,-120,100,True,True,
2021020055,2021-10-21,2021,FLA,COL,4,1,5,4,1,False,False,0,5,8475683,S. Bobrovsky,True,31,1,60:00,8477992,J. Johansson,True,37,3,59:21,5,1,0,3,0,0,0.2,0.0,1.0,1.0,2,False,2,2,False,2,4.077,2.402,0.5739,0.5647,38.0,5.0,3.0,2.402,4.077,0.4261,0.4353,31.0,3.0,5.0,6.5,-105,-115,True,True,
2021020056,2021-10-21,2021,NJD,WSH,1,4,5,1,4,False,False,0,5,8475809,S. Wedgewood,True,27,4,60:00,8477970,V. Vanecek,True,26,1,60:00,1,1,0,3,0,0,1.0,0.0,1.0,1.0,2,False,2,2,False,2,3.103,3.31,0.5049,0.4615,26.0,2.0,5.0,3.31,3.103,0.4951,0.5385,27.0,5.0,2.0,6.5,-105,-115,True,True,
2021020057,2021-10-21,2021,CBJ,NYI,3,2,5,2,2,True,False,1,4,8478007,E. Merzlikins,True,36,2,61:49,8478009,I. Sorokin,True,32,3,61:49,4,1,0,3,0,0,0.25,0.0,1.0,1.0,2,False,2,2,False,2,3.095,2.663,0.4828,0.4778,32.0,1.0,2.0,2.663,3.095,0.5172,0.5222,36.0,2.0,1.0,5.5,110,-130,True,True,
2021020054,2021-10-21,2021,DET,CGY,0,3,3,0,3,False,False,0,3,8477968,A. Nedeljkovic,True,28,2,59:41,8474593,J. Markstrom,True,33,0,60:00,3,0,0,2,0,0,0.0,0.0,1.0,1.0,2,False,2,3,False,2,2.124,2.158,0.5196,0.561,33.0,1.0,1.0,2.158,2.124,0.4804,0.439,29.0,1.0,1.0,5.5,-110,-110,True,True,
2021020059,2021-10-21,2021,NSH,NYR,1,3,4,1,3,False,False,0,4,8477424,J. Saros,True,29,2,57:12,8478048,I. Shesterkin,True,29,1,59:33,3,0,0,4,0,0,0.0,0.0,1.0,1.0,2,False,2,3,False,2,2.071,5.07,0.51,0.4767,29.0,1.0,6.0,5.07,2.071,0.49,0.5233,30.0,6.0,1.0,5.5,-110,-110,True,True,
2021020060,2021-10-21,2021,WPG,ANA,5,1,6,5,1,False,False,0,6,8476945,C. Hellebuyck,True,39,1,60:00,8476434,J. Gibson,True,26,4,58:32,2,1,0,3,1,0,0.5,0.3333,1.0,1.0,2,False,2,2,False,3,3.401,3.2,0.4237,0.4318,27.0,2.0,4.0,3.2,3.401,0.5763,0.5682,39.0,4.0,2.0,5.5,-115,-105,True,True,
2021020058,2021-10-21,2021,CHI,VAN,1,4,5,1,4,False,False,0,5,8480947,K. Lankinen,True,24,3,58:18,8477967,T. Demko,True,30,1,60:00,4,1,0,4,1,0,0.25,0.25,1.0,1.0,2,False,3,2,False,3,2.211,3.036,0.5,0.4744,30.0,0.0,3.0,3.036,2.211,0.5,0.5256,25.0,3.0,0.0,6.5,100,-120,True,True,
2021020061,2021-10-21,2021,ARI,EDM,1,5,6,1,5,False,False,0,6,8478872,K. Vejmelka,True,31,5,60:00,8475156,M. Koskinen,True,28,1,60:00,4,0,1,2,2,0,0.0,1.0,0.5,1.0,3,False,2,2,False,2,1.636,3.214,0.4476,0.4568,28.0,1.0,4.0,3.214,1.636,0.5524,0.5432,31.0,4.0,1.0,6.0,-105,-115,True,True,
