game_pk,date,season,home_team,away_team,home_score,away_score,actual_total,actual_f5_total,park_factor_runs,temperature,wind_speed,wind_direction,home_rest_days,away_rest_days,umpire_over_rate,innings_played,completed_early,total_line,total_over_price,total_under_price,f5_line,late_implied,f5_ratio,actual_late_runs,actual_f5_share,path_state,fg_over,fg_under,fg_push,path_error,fg_error,home_sp_avg_ip,home_sp_fip,home_sp_ip_std,home_sp_k_rate,away_sp_avg_ip,away_sp_fip,away_sp_ip_std,away_sp_k_rate,home_bp_era,away_bp_era,sp_length_diff,bp_quality_diff,sp_fragility_max,sp_fragility_avg,sp_avg_ip_min,bp_era_avg,sp_fip_avg,sp_fip_max,split
718305,2023-05-05,2023,CIN,CHW,4,5,9,7.0,107,70.7,7.3,121.0,2,1,0.985,9,False,9.5,-110.0,-110.0,4.5,5.0,0.47368421052631576,2.0,0.7777777777777778,ELEVATED_LATE,0,1,0,-3.0,-0.5,,,,,,,,,,,,,,,,,,,discovery
718300,2023-05-05,2023,TBR,NYY,5,4,9,4.0,97,72.0,0.0,0.0,1,2,1.0,9,False,8.5,-110.0,-110.0,4.5,4.0,0.5294117647058824,5.0,0.4444444444444444,BALANCED,1,0,0,1.0,0.5,,,,,,,,,,,,,,,,,,,discovery
718300,2023-05-05,2023,TBR,NYY,5,4,9,4.0,97,72.0,0.0,0.0,1,2,1.0,9,False,7.0,-120.0,100.0,4.5,2.5,0.6428571428571429,5.0,0.4444444444444444,COMPRESSED_LOW,1,0,0,2.5,2.0,,,,,,,,,,,,,,,,,,,discovery
718301,2023-05-05,2023,PHI,BOS,3,5,8,6.0,104,55.6,5.1,49.0,2,1,1.028,9,False,8.0,-115.0,-105.0,4.5,3.5,0.5625,2.0,0.75,BALANCED,0,0,1,-1.5,0.0,,,,,,,,,,,,,,,,,,,discovery
718301,2023-05-05,2023,PHI,BOS,3,5,8,6.0,104,55.6,5.1,49.0,2,1,1.028,9,False,9.5,-110.0,-110.0,4.5,5.0,0.47368421052631576,2.0,0.75,ELEVATED_LATE,0,1,0,-3.0,-1.5,,,,,,,,,,,,,,,,,,,discovery
718302,2023-05-05,2023,NYM,COL,1,0,1,1.0,94,53.9,7.6,204.0,1,1,1.0,9,False,8.0,-120.0,100.0,4.5,3.5,0.5625,0.0,1.0,BALANCED,0,1,0,-3.5,-7.0,,,,,,,,,,,,,,,,,,,discovery
718302,2023-05-05,2023,NYM,COL,1,0,1,1.0,94,53.9,7.6,204.0,1,1,1.0,9,False,8.0,-120.0,100.0,4.5,3.5,0.5625,0.0,1.0,BALANCED,0,1,0,-3.5,-7.0,,,,,,,,,,,,,,,,,,,discovery
718306,2023-05-05,2023,CLE,MIN,0,2,2,0.0,98,56.7,13.7,53.0,2,1,1.0,9,False,8.5,-110.0,-110.0,4.5,4.0,0.5294117647058824,2.0,0.0,BALANCED,0,1,0,-2.0,-6.5,,,,,,,,,,,,,,,,,,,discovery
718306,2023-05-05,2023,CLE,MIN,0,2,2,0.0,98,56.7,13.7,53.0,2,1,1.0,9,False,8.5,100.0,-120.0,4.5,4.0,0.5294117647058824,2.0,0.0,BALANCED,0,1,0,-2.0,-6.5,,,,,,,,,,,,,,,,,,,discovery
718298,2023-05-05,2023,ATL,BAL,4,9,13,3.0,102,61.1,7.4,111.0,1,1,1.0,9,False,8.0,-120.0,100.0,4.5,3.5,0.5625,10.0,0.23076923076923078,BALANCED,1,0,0,6.5,5.0,,,,,,,,,,,,,,,,,,,discovery
718298,2023-05-05,2023,ATL,BAL,4,9,13,3.0,102,61.1,7.4,111.0,1,1,1.0,9,False,8.5,-105.0,-115.0,4.5,4.0,0.5294117647058824,10.0,0.23076923076923078,BALANCED,1,0,0,6.0,4.5,,,,,,,,,,,,,,,,,,,discovery
718299,2023-05-05,2023,KCR,OAK,8,12,20,12.0,100,74.9,8.1,152.0,1,1,1.0,9,False,10.0,-105.0,-115.0,5.0,5.0,0.5,8.0,0.6,ELEVATED_LATE,1,0,0,3.0,10.0,,,,,,,,,,,,,,,,,,,discovery
718299,2023-05-05,2023,KCR,OAK,8,12,20,12.0,100,74.9,8.1,152.0,1,1,1.0,9,False,9.0,-105.0,-115.0,5.0,4.0,0.5555555555555556,8.0,0.6,BALANCED,1,0,0,4.0,11.0,,,,,,,,,,,,,,,,,,,discovery
718292,2023-05-05,2023,STL,DET,4,5,9,5.0,97,66.9,12.3,158.0,1,1,1.0,9,False,8.0,-110.0,-110.0,4.5,3.5,0.5625,4.0,0.5555555555555556,BALANCED,1,0,0,0.5,1.0,,,,,,,,,,,,,,,,,,,discovery
718292,2023-05-05,2023,STL,DET,4,5,9,5.0,97,66.9,12.3,158.0,1,1,1.0,9,False,8.5,-110.0,-110.0,4.5,4.0,0.5294117647058824,4.0,0.5555555555555556,BALANCED,1,0,0,0.0,0.5,,,,,,,,,,,,,,,,,,,discovery
718294,2023-05-05,2023,LAA,TEX,5,4,9,3.0,97,63.0,8.1,226.0,1,2,1.005,10,False,9.5,100.0,-120.0,5.0,4.5,0.5263157894736842,6.0,0.3333333333333333,ELEVATED_LATE,0,1,0,1.5,-0.5,,,,,,,,,,,,,,,,,,,discovery
718296,2023-05-05,2023,ARI,WSN,3,1,4,4.0,98,72.0,0.0,0.0,2,1,1.034,9,False,9.0,-120.0,100.0,5.0,4.0,0.5555555555555556,0.0,1.0,BALANCED,0,1,0,-4.0,-5.0,,,,,,,,,,,,,,,,,,,discovery
718296,2023-05-05,2023,ARI,WSN,3,1,4,4.0,98,72.0,0.0,0.0,2,1,1.034,9,False,9.0,-105.0,-115.0,5.0,4.0,0.5555555555555556,0.0,1.0,BALANCED,0,1,0,-4.0,-5.0,,,,,,,,,,,,,,,,,,,discovery
718295,2023-05-05,2023,SDP,LAD,5,2,7,5.0,95,62.2,8.4,281.0,2,2,0.978,9,False,7.5,-115.0,-105.0,4.0,3.5,0.5333333333333333,2.0,0.7142857142857143,COMPRESSED_LOW,0,1,0,-1.5,-0.5,,,,,,,,,,,,,,,,,,,discovery
718295,2023-05-05,2023,SDP,LAD,5,2,7,5.0,95,62.2,8.4,281.0,2,2,0.978,9,False,8.5,-110.0,-110.0,4.0,4.5,0.47058823529411764,2.0,0.7142857142857143,ELEVATED_LATE,0,1,0,-2.5,-1.5,,,,,,,,,,,,,,,,,,,discovery
718297,2023-05-05,2023,SEA,HOU,4,6,10,7.0,94,49.7,6.6,190.0,1,2,1.0,9,False,7.0,100.0,-120.0,3.5,3.5,0.5,3.0,0.7,COMPRESSED_LOW,1,0,0,-0.5,3.0,,,,,,,,,,,,,,,,,,,discovery
718293,2023-05-05,2023,SFG,MIL,6,4,10,9.0,96,54.0,14.4,229.0,2,1,1.0,9,False,8.0,-110.0,-110.0,4.0,4.0,0.5,1.0,0.9,LATE_HEAVY,1,0,0,-3.0,2.0,,,,,,,,,,,,,,,,,,,discovery
718293,2023-05-05,2023,SFG,MIL,6,4,10,9.0,96,54.0,14.4,229.0,2,1,1.0,9,False,8.5,-105.0,-115.0,4.0,4.5,0.47058823529411764,1.0,0.9,ELEVATED_LATE,1,0,0,-3.5,1.5,,,,,,,,,,,,,,,,,,,discovery
718288,2023-05-06,2023,STL,DET,5,6,11,8.0,97,73.0,10.8,173.0,1,1,1.021,10,False,9.0,-115.0,-105.0,5.0,4.0,0.5555555555555556,3.0,0.7272727272727273,BALANCED,1,0,0,-1.0,2.0,,,,,,,,,,,,,,,,,,,discovery
718289,2023-05-06,2023,CHC,MIA,4,2,6,3.0,103,69.8,10.5,151.0,1,1,1.016,9,False,9.5,100.0,-120.0,5.0,4.5,0.5263157894736842,3.0,0.5,ELEVATED_LATE,0,1,0,-1.5,-3.5,,,,,,,,,,,,,,,,,,,discovery
718290,2023-05-06,2023,NYM,COL,2,5,7,5.0,94,67.7,10.7,324.0,1,1,1.0,9,False,8.5,-120.0,100.0,5.0,3.5,0.5882352941176471,2.0,0.7142857142857143,EARLY_HEAVY,0,1,0,-1.5,-1.5,,,,,,,,,,,,,,,,,,,discovery
