game_pk,game_date,fastball_dom,open_line_6am,benchmark_line_noon,line_move_6am_to_noon,actual_total,year,signal_type,signal_market,down_move_05
744895,2024-08-11,0,8.5,8.5,0.0,12,2024,APPROX_UNDER,totals_under,0
746517,2024-08-11,0,10.5,10.5,0.0,17,2024,APPROX_UNDER,totals_under,0
746603,2024-08-12,0,8.0,8.0,0.0,17,2024,APPROX_UNDER,totals_under,0
745954,2024-08-13,0,8.5,9.0,0.5,9,2024,APPROX_UNDER,totals_under,0
745950,2024-08-15,0,8.0,7.5,-0.5,10,2024,APPROX_UNDER,totals_under,1
747002,2024-08-15,0,8.5,8.5,0.0,6,2024,APPROX_UNDER,totals_under,0
745949,2024-08-16,0,8.0,8.0,0.0,8,2024,APPROX_UNDER,totals_under,0
746189,2024-08-16,0,8.0,8.0,0.0,5,2024,APPROX_UNDER,totals_under,0
746186,2024-08-18,0,9.0,9.5,0.5,4,2024,APPROX_UNDER,totals_under,0
746107,2024-08-20,0,8.5,8.5,0.0,9,2024,APPROX_UNDER,totals_under,0
746022,2024-08-24,0,8.0,8.0,0.0,16,2024,APPROX_UNDER,totals_under,0
746994,2024-08-25,0,8.5,8.0,-0.5,9,2024,APPROX_UNDER,totals_under,1
746915,2024-08-26,0,9.0,9.0,0.0,10,2024,APPROX_UNDER,totals_under,0
746755,2024-08-27,0,8.5,8.5,0.0,4,2024,APPROX_UNDER,totals_under,0
746589,2024-08-28,0,8.0,8.0,0.0,12,2024,APPROX_UNDER,totals_under,0
745541,2024-08-28,1,9.5,10.0,0.5,10,2024,APPROX_UNDER,totals_under,0
745134,2024-08-28,0,8.5,8.0,-0.5,7,2024,APPROX_UNDER,totals_under,1
745943,2024-08-28,0,8.0,8.0,0.0,8,2024,APPROX_UNDER,totals_under,0
746748,2024-08-29,0,8.5,8.5,0.0,3,2024,APPROX_UNDER,totals_under,0
746352,2024-08-29,0,8.0,8.0,0.0,9,2024,APPROX_UNDER,totals_under,0
747158,2024-08-31,0,9.0,9.5,0.5,14,2024,APPROX_UNDER,totals_under,0
746750,2024-09-01,0,8.0,7.5,-0.5,2,2024,APPROX_UNDER,totals_under,1
746183,2024-09-01,0,8.5,9.0,0.5,5,2024,APPROX_UNDER,totals_under,0
746264,2024-09-03,1,8.0,8.0,0.0,8,2024,APPROX_UNDER,totals_under,0
744968,2024-09-03,0,9.0,9.0,0.0,11,2024,APPROX_UNDER,totals_under,0
746019,2024-09-04,1,8.5,8.5,0.0,7,2024,APPROX_UNDER,totals_under,0
745369,2024-09-05,0,8.5,8.5,0.0,7,2024,APPROX_UNDER,totals_under,0
745775,2024-09-07,0,8.5,8.5,0.0,4,2024,APPROX_UNDER,totals_under,0
746018,2024-09-07,0,8.5,8.0,-0.5,14,2024,APPROX_UNDER,totals_under,1
745698,2024-09-09,0,8.5,8.5,0.0,14,2024,APPROX_UNDER,totals_under,0
744888,2024-09-09,0,8.5,9.0,0.5,5,2024,APPROX_UNDER,totals_under,0
744807,2024-09-10,0,8.0,7.5,-0.5,12,2024,APPROX_UNDER,totals_under,1
746745,2024-09-11,0,8.0,7.5,-0.5,10,2024,APPROX_UNDER,totals_under,1
744881,2024-09-11,0,8.0,7.5,-0.5,8,2024,APPROX_UNDER,totals_under,1
746181,2024-09-13,0,8.5,8.5,0.0,8,2024,APPROX_UNDER,totals_under,0
746740,2024-09-14,0,8.5,8.5,0.0,13,2024,APPROX_UNDER,totals_under,0
746588,2024-09-16,1,8.0,7.5,-0.5,7,2024,APPROX_UNDER,totals_under,1
746587,2024-09-17,0,8.5,8.0,-0.5,5,2024,APPROX_UNDER,totals_under,1
746261,2024-09-17,0,8.0,8.0,0.0,4,2024,APPROX_UNDER,totals_under,0
746176,2024-09-17,0,8.0,8.0,0.0,5,2024,APPROX_UNDER,totals_under,0
746663,2024-09-19,0,8.5,9.0,0.5,18,2024,APPROX_UNDER,totals_under,0
746661,2024-09-20,0,9.0,9.0,0.0,11,2024,APPROX_UNDER,totals_under,0
746255,2024-09-21,0,8.5,8.5,0.0,9,2024,APPROX_UNDER,totals_under,0
745851,2024-09-24,1,8.0,8.0,0.0,5,2024,APPROX_UNDER,totals_under,0
746093,2024-09-24,0,8.0,8.5,0.5,6,2024,APPROX_UNDER,totals_under,0
746088,2024-09-26,0,8.5,8.5,0.0,9,2024,APPROX_UNDER,totals_under,0
747145,2024-09-27,0,9.0,8.5,-0.5,8,2024,APPROX_UNDER,totals_under,1
745282,2024-09-29,0,8.0,8.0,0.0,7,2024,APPROX_UNDER,totals_under,0
778394,2025-04-08,0,9.5,9.5,0.0,8,2025,APPROX_UNDER,totals_under,0
778374,2025-04-11,0,8.5,8.5,0.0,8,2025,APPROX_UNDER,totals_under,0
778337,2025-04-13,0,8.0,8.0,0.0,15,2025,APPROX_UNDER,totals_under,0
778311,2025-04-15,0,8.0,7.5,-0.5,9,2025,APPROX_UNDER,totals_under,1
778302,2025-04-15,0,8.5,8.5,0.0,8,2025,APPROX_UNDER,totals_under,0
778283,2025-04-17,0,8.0,8.0,0.0,8,2025,APPROX_UNDER,totals_under,0
778260,2025-04-18,0,8.0,8.0,0.0,2,2025,APPROX_UNDER,totals_under,0
778262,2025-04-19,0,9.0,9.0,0.0,14,2025,APPROX_UNDER,totals_under,0
778259,2025-04-19,0,8.0,7.5,-0.5,5,2025,APPROX_UNDER,totals_under,1
778223,2025-04-22,0,8.0,8.0,0.0,6,2025,APPROX_UNDER,totals_under,0
778217,2025-04-22,0,8.0,8.0,0.0,6,2025,APPROX_UNDER,totals_under,0
778187,2025-04-25,0,8.0,8.0,0.0,2,2025,APPROX_UNDER,totals_under,0
778161,2025-04-26,0,10.5,10.5,0.0,10,2025,APPROX_UNDER,totals_under,0
778156,2025-04-27,0,8.0,8.0,0.0,13,2025,APPROX_UNDER,totals_under,0
778151,2025-04-27,0,8.0,7.5,-0.5,5,2025,APPROX_UNDER,totals_under,1
778118,2025-04-30,0,8.0,7.5,-0.5,9,2025,APPROX_UNDER,totals_under,1
778107,2025-05-01,0,9.0,9.0,0.0,10,2025,APPROX_UNDER,totals_under,0
778093,2025-05-02,0,9.5,9.0,-0.5,3,2025,APPROX_UNDER,totals_under,1
778089,2025-05-02,0,9.0,9.0,0.0,7,2025,APPROX_UNDER,totals_under,0
778066,2025-05-03,0,8.0,7.5,-0.5,11,2025,APPROX_UNDER,totals_under,1
778067,2025-05-03,0,8.0,9.0,1.0,7,2025,APPROX_UNDER,totals_under,0
778058,2025-05-04,0,8.5,8.5,0.0,5,2025,APPROX_UNDER,totals_under,0
778037,2025-05-06,0,8.5,8.5,0.0,7,2025,APPROX_UNDER,totals_under,0
778041,2025-05-06,0,8.5,8.0,-0.5,15,2025,APPROX_UNDER,totals_under,1
778040,2025-05-06,1,8.0,8.0,0.0,12,2025,APPROX_UNDER,totals_under,0
778005,2025-05-08,0,8.5,9.0,0.5,13,2025,APPROX_UNDER,totals_under,0
777997,2025-05-09,0,8.0,8.0,0.0,6,2025,APPROX_UNDER,totals_under,0
777990,2025-05-09,0,9.0,9.0,0.0,3,2025,APPROX_UNDER,totals_under,0
777972,2025-05-10,0,9.5,10.0,0.5,18,2025,APPROX_UNDER,totals_under,0
777968,2025-05-11,0,8.0,8.5,0.5,8,2025,APPROX_UNDER,totals_under,0
777967,2025-05-11,0,8.5,8.0,-0.5,7,2025,APPROX_UNDER,totals_under,1
777954,2025-05-11,0,9.5,9.5,0.0,9,2025,APPROX_UNDER,totals_under,0
777924,2025-05-14,0,9.0,8.5,-0.5,9,2025,APPROX_UNDER,totals_under,1
777920,2025-05-14,0,8.0,8.5,0.5,7,2025,APPROX_UNDER,totals_under,0
777917,2025-05-14,0,8.5,8.5,0.0,12,2025,APPROX_UNDER,totals_under,0
777908,2025-05-16,0,8.0,8.0,0.0,6,2025,APPROX_UNDER,totals_under,0
777893,2025-05-17,0,9.0,9.5,0.5,13,2025,APPROX_UNDER,totals_under,0
